528,5822,5822,891,26
529,20,20,5,5
530,5813,5813,1451,166
531,6911,6911,1173,91
532,12391,12391,2231,207
533,13298,13298,2768,255
534,4423,4423,446,30
535,6371,6371,440,52
536,3274,3274,360,84
537,1538,1538,278,112
538,5853,5853,2574,220
539,742,742,212,28
540,710,710,79,4
541,4697,4697,684,153
542,556,556,149,24
543,10005,10005,2769,43
544,325,325,526,13
545,3049,3049,434,47
546,1321,1321,76,9
547,1998,1998,147,65
548,246,246,29,18
549,109,109,49,10
550,97,97,671,3
551,16173,16173,5899,633
552,0,0,1,0
553,981,981,453,79
554,302,302,2099,2
555,335,335,1578,0
556,141,141,1375,44
557,215,215,1399,3
558,93,93,1186,1
559,649,649,2629,2
560,171,171,1163,4
561,70,70,406,1
562,211,211,1118,2
563,78,78,1225,1
564,155,155,806,2
565,292,292,1856,2
566,87,87,1039,0
567,1261,1261,471,7
568,186,186,2610,4
569,19,19,268,0
570,22549,22549,6281,683
571,6085,6085,2264,40
572,93,93,45,20
573,275,275,108,34
574,9830,9830,3372,224
575,89,89,48,4
576,9833,9833,2635,541
577,1589,1589,417,24
578,10519,10519,2646,191
579,14959,14959,4722,6
580,6302,6302,1505,20
581,5594,5594,1408,4
582,1412,1412,203,36
583,691,691,45,0
584,4218,4218,470,0
585,11225,11225,1469,2
586,2332,2332,507,93
587,1222,1222,219,80
588,5766,5766,1363,1
589,456,456,167,50
590,1151,1151,96,6
591,2468,2468,1182,65
592,51,51,7,1
593,10110,10110,1213,39
594,19690,19690,3377,179
595,6644,6644,1708,85
596,13,13,12,1
597,2861,2861,473,48
598,1862,1862,216,43
599,296,296,31,2
600,6878,6878,922,31
601,4373,4373,528,183
602,6,6,4,0
603,3238,3238,282,13
604,3961,3961,7358,125
605,6650,6650,988,2
606,7074,7074,626,49
607,781,781,1610,1
608,5421,5421,441,126
609,11067,11067,1270,133
